Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,1,1102,2,1,2,4,1,1,2,0,94,3,2,2,4,1,5993,19479,8,1,1,11,3,1,80,0,8,0,1,6,4,0,5
1,37,1,1373,0,2,2,5,1,3,4,1,92,2,1,6,3,1,2090,2396,6,1,1,15,3,2,80,0,7,3,3,0,0,0,0
0,32,2,1005,0,2,2,4,1,6,4,1,79,3,1,6,4,1,3068,11864,0,1,0,13,3,3,80,0,8,2,2,7,7,3,6
0,59,1,1324,0,3,3,3,1,7,3,0,81,4,1,6,1,2,2670,9964,4,1,1,20,4,1,80,3,12,3,2,1,0,0,0
0,30,1,1358,0,24,1,4,1,8,4,1,67,3,1,6,3,0,2693,13335,1,1,0,22,4,2,80,1,1,2,3,1,0,0,0
0,38,2,216,0,23,3,4,1,9,4,1,44,2,3,5,3,1,9526,8787,0,1,0,21,4,2,80,0,10,2,3,9,7,1,8
0,36,1,1299,0,27,3,3,1,10,3,1,94,3,2,4,3,2,5237,16577,6,1,0,13,3,2,80,2,17,3,2,7,7,7,7
0,29,1,153,0,15,2,4,1,12,4,0,49,2,2,6,3,1,4193,12682,0,1,1,12,3,4,80,0,10,3,3,9,5,0,8
0,31,1,670,0,26,1,4,1,13,1,1,31,3,1,7,3,0,2911,15170,1,1,0,17,3,4,80,1,5,1,2,5,2,4,3
0,34,1,1346,0,19,2,3,1,14,2,1,93,3,1,6,4,0,2661,8758,0,1,0,11,3,3,80,1,3,2,3,2,2,1,2
1,28,1,103,0,24,3,4,1,15,3,1,50,2,1,6,3,1,2028,12947,5,1,1,14,3,2,80,0,6,4,3,4,2,0,3
0,29,1,1389,0,21,4,4,1,16,2,0,51,4,3,5,1,0,9980,10195,1,1,0,11,3,3,80,1,10,1,3,10,9,8,8
0,22,0,1123,0,16,2,3,1,18,4,1,96,4,1,6,4,0,2935,7324,1,1,1,13,3,2,80,2,1,2,2,1,0,0,0
0,53,1,1219,2,2,4,4,1,19,1,0,78,2,4,3,4,2,15427,22021,2,1,0,16,3,3,80,0,31,3,3,25,8,3,7
0,24,0,673,0,11,2,5,1,21,1,0,96,4,2,5,3,0,4011,8232,0,1,0,18,3,4,80,1,5,5,2,4,2,1,3
1,36,1,1218,2,9,4,4,1,22,3,1,82,2,1,1,1,1,3407,6986,7,1,0,23,4,2,80,0,10,4,3,5,3,0,3
0,34,1,419,0,7,4,4,1,23,1,0,53,3,3,8,2,1,11994,21293,0,1,0,11,3,3,80,0,13,4,3,12,6,2,11
0,21,1,391,0,15,2,4,1,24,3,1,96,3,1,7,4,1,1232,19281,1,1,0,14,3,4,80,0,0,6,3,0,0,0,0
